,Companies,Jobs,Locations,Easy_Apply,Rating,Summary
75,Akraya Inc.,BSA Sr. (Data Scientist Automation) : 19-05394,"Salt Lake City, UT",Not Easy Apply,3.6," Integrate data from multiple data sources or functional areas, ensure data accuracy and integrity, and update data as need."
76,Akraya Inc.,Network Data Engineer : 19-04899,"Salt Lake City, UT",Not Easy Apply,3.6," Primary Skills: Voice, Data Network,VOIP, MPLS, VPN. Minimum 5 years’ experience with Voice and Data Networks; Knowledge of VOIP/ SIP; MPLS, AVPN, working…"
77,CHG Healthcare,"Senior Data Engineer, OneView","Midvale, UT",Not Easy Apply,3.6," Must understand things like data normalization, relational databases, data cleansing, data sandboxing, data pipelines, BI/ETL tools, and a bunch of other stuff."
78,University of Utah,Healthcare Solution Analyst II,"Salt Lake City, UT",Not Easy Apply,4.2," Serve as thought leader in their specialty domain (healthcare, data visualization or data science) and will be expected to broadly share their experiences."
79,Payclip,Data Engineer,"Draper, UT",Easy Apply,2.8," Create and populate data lakes and a data warehouse to facilitate data analysis and data science projects. Experience with developing data pipelines, data lakes…"
80,IDbyDNA,"R&D Scientist, Product Development","Salt Lake City, UT",Easy Apply,," Prepare data and analyses, and contribute to manuscripts and presentations. IDbyDNA is seeking a dedicated, passionate, and experienced R&D Scientist to be part…"
81,Zions Bancorporation,Data Engineer,"Salt Lake City, UT",Not Easy Apply,3.6," Maps source system data into data warehouse models. Works closely with diverse operational data systems, external data partners, business intelligence,…"
82,Deloitte,Senior Data Scientist,"Salt Lake City, UT",Not Easy Apply,4.0, A deep interest in Data Science and AI. We ask that you be able to explain your insights to people beyond the data science team.
83,Zions Bank,Data Engineer,"Salt Lake City, UT",Not Easy Apply,3.6," Maps source system data into data warehouse models. Works closely with diverse operational data systems, external data partners, business intelligence,…"
84,The Church of Jesus Christ of Latter-day Saints,Data Engineer 4 - Contract,"Riverton, UT",Not Easy Apply,4.8," Create and support ETL jobs, pulling data from various source systems and loading data into the data warehouse. Advanced dimensional data modeling skills."
85,Ancestry,Data Engineer - Bioinformatics,"Lehi, UT",Not Easy Apply,3.9," Interface with data customers to continuously improve data processes. Bring understanding of genomics, product development, and machine learning to build end-to…"
86,Health Catalyst,Data Engineer (Master Data Management),"Salt Lake City, UT",Not Easy Apply,4.7, Job Title: Data Engineer (Master Data Management). The Data Engineer leverages the Catalyst’s Data Operating System to acquire this data.
87,Zions Bancorporation,Senior Data Scientist,"Salt Lake City, UT",Not Easy Apply,3.6, Zions Bancorporation is currently looking for an experienced Data Scientist to join our Enterprise Data Science team. Designing and building analytical models.
88,The HELPcard,Senior Data Analyst,"Draper, UT",Easy Apply,4.3, We are looking for a Senior Data Analyst to join The HELPcard's Data Science team! Extract usable information from unstructured data using advanced data mining…
89,"BioFire Diagnostics, LLC.",Software Engineer I/II - Data Engineer,"Salt Lake City, UT",Not Easy Apply,3.6," Working with our Data Analytics, Data Science and BioMath groups to gather user needs. Collaborating with Data Scientists, Data Architects, Software Developers…"
90,Pluralsight,Senior Machine Learning Engineer,"South Jordan, UT",Not Easy Apply,4.3," Develop robust, scalable production data products based on prototype algorithms developed in Python or R by the data science R&D team."
91,Womply Lehi,Product Analyst - Analytics,"Lehi, UT",Not Easy Apply,3.8," Wrangling and modeling data from multiple data sources including Snowflake, AWS, and SaaS tools. Identifying and understanding source data systems and become an…"
92,Ancestry,"Performance Engineer, Intern (Advanced Data Analytics)","Lehi, UT",Not Easy Apply,3.9," Experience with database and data lake technologies, with the ability to create queries in pulling needed data sets for analysis and processing."
93,Ancestry,"Senior Manager, Data Science - NLP Solutions Team","Lehi, UT",Not Easy Apply,3.9," Reporting directly to the VP of Data Science, you will be a member of the global Data Science & Machine Learning team, tackling our toughest and most exciting…"
94,Health Catalyst,"Data Engineer, Intermediate or Sr. (Platform Ops)","Salt Lake City, UT",Not Easy Apply,4.7, The Data Engineer leverages the Catalyst’s Data Operating System to acquire this data. Ability to dig into the data and understand business logic within the…
95,KeyQ Consulting,Senior Software Engineer/ Machine Learning developer,"Salt Lake City, UT",Easy Apply,, Study and transform data science prototypes. Select appropriate datasets and data representation methods. Please find the Job description below: *.
96,Overstock.com Inc.,Senior Director of Data Science,"Midvale, UT",Not Easy Apply,," The Senior Director of Data Science leads a team of Data Scientists in designing, developing, and implementing theoretical and predictive models that support…"
97,3M,"3M HIS Advanced Data Scientist (Murray, UT / St. Paul, MN/Pittsburgh, PA)","Murray, UT",Not Easy Apply,4.0, Become an active participant in larger 3M machine learning / data science community. Collaborate with other team members (data scientists and data engineers) on…
98,xentity corporation,GIS Support Analyst/Developer,"Salt Lake City, UT",Easy Apply,4.6," Could pass ad-hoc technical and whiteboard test given various either application root cause analysis or data ETL and other patterns of large data, data cleanup,…"
99,Aristotle,Data Analyst,"Provo, UT",Easy Apply,4.2," Experience in some combination of data science, statistical modeling and business analytics. Acquire data from primary or secondary data sources and maintain…"
100,Goldman Sachs,Front End Software Engineer - Reference Data - Data Intelligence,"Salt Lake City, UT",Not Easy Apply,4.0," You will be part of the technology function for Enterprise Reference Data, focusing on building UIs for the data sourcing platform that enables the business to…"
101,The Church of Jesus Christ of Latter-day Saints,Contractor - FamilySearch Machine Learning Historical Records Expert - Spanish Speaking,"Salt Lake City, UT",Not Easy Apply,4.8," You’ll use paleography skills to accurately decipher historical documents, annotate language data with linguistic information to build Natural Language…"
102,"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Salt Lake City, UT",Not Easy Apply,3.6," 4+ years of industry experience in predictive modeling, data science and analysis. Work with our Professional Services Big Data consultants to analyze, extract,…"
103,Goldman Sachs,Enterprise Reference Data - Site Reliability Engineer Analyst,"Salt Lake City, UT",Not Easy Apply,4.0, The Data Reliability Engineering teams are responsible for the reliability of Reference Data products and the quality of our data environments.
104,Goldman Sachs,Software Engineer - Enterprise Reference Data,"Salt Lake City, UT",Not Easy Apply,4.0," You will be part of the technology function for Enterprise Reference Data, focusing on building data sourcing, controls and distribution architecture that…"
105,The Church of Jesus Christ of Latter-day Saints,"Data Scientist Sr. - Welfare and Self Reliance Services, SLC, UT","Salt Lake City, UT",Not Easy Apply,4.8," Requires Data Analytics, Data Science or AI/Machine Learning Certification. BS/BA Degree in data science, mathematics, statistics, computer science, or a…"
106,Clearlink,Data Engineer,"Salt Lake City, UT",Not Easy Apply,3.3," Optimize data (both underlying data structure and delivery method) for use by reporting platforms. Define and implement data structures across RDMS, graph, and…"
107,CHG Healthcare,"Test Engineer, Data Warehouse","Midvale, UT",Not Easy Apply,3.6," Experience testing ETL, SQL, and data. You’ll build and maintain a data warehouse that helps our business gain insight into its business."
108,Ascential,Sr. Data Engineer,"Salt Lake City, UT",Not Easy Apply,3.5," You will help define and architect data pipelines, operating standards, and related data governance and modeling. What you will be doing:"
109,Cox Automotive,Sr Data Engineer,"Draper, UT",Not Easy Apply,3.4, The Senior Data Engineer focuses on data pipeline development. Data reconciliation of Enterprise Data Warehouse and source systems. Who We Are + What We Do:
110,CDW,"Associate Consulting Engineer – Federal (Data Center, MS-Azure, Network Security)","Provo, UT",Not Easy Apply,3.7," ACEs focusing in this Data Center practice will work with our lead engineers designing, planning, and implementing Data Center Solutions including Network…"
111,Clearlink,Data Engineer,"Bountiful, UT",Not Easy Apply,3.3," Optimize data (both underlying data structure and delivery method) for use by reporting platforms. Define and implement data structures across RDMS, graph, and…"
112,Zions Bancorporation,Senior Data Scientist,"Salt Lake City, UT",Not Easy Apply,3.6, Zions Bancorporation is currently looking for an experienced Data Scientist to join our Enterprise Data Science team. Designing and building analytical models.
113,Harnham US,Director of Data Science and Computational Chemistry,"Salt Lake City, UT",Not Easy Apply,4.7, DIRECTOR OF DATA SCIENCE AND COMPUTATIONAL CHEMISTRY. Integrate expertise in computational chemistry with data science and machine learning.
114,Ezoic,Data Scientist - Relocate to Carlsbad,United States,Easy Apply,5.0, Proactively perform data exploration on user behavior and website performance to discover future testing opportunities.
115,Zions Bancorporation,Senior Data Scientist,"Salt Lake City, UT",Not Easy Apply,3.6, Zions Bancorporation is currently looking for an experienced Data Scientist to join our Enterprise Data Science team. Designing and building analytical models.
116,Clearlink,Data Engineer,"Magna, UT",Not Easy Apply,3.3," Optimize data (both underlying data structure and delivery method) for use by reporting platforms. Define and implement data structures across RDMS, graph, and…"
117,Central Logic,Data Scientist,"South Jordan, UT",Easy Apply,4.0," Data science: 5 years (Preferred). Expertise in healthcare data, e.g. medical and pharmacy claims, EMR/clinical data, lab data, Hl7 Data, etc. is a plus."
118,The Church of Jesus Christ of Latter-day Saints,"Data Scientist Sr. - Welfare and Self Reliance Services, SLC, UT","Salt Lake City, UT",Not Easy Apply,4.8," Requires Data Analytics, Data Science or AI/Machine Learning Certification. BS/BA Degree in data science, mathematics, statistics, computer science, or a…"
119,Ezoic,Data Scientist - Relocate to Carlsbad,United States,Easy Apply,5.0, Proactively perform data exploration on user behavior and website performance to discover future testing opportunities.
120,Goldman Sachs,Enterprise Reference Data - Site Reliability Engineer Analyst,"Salt Lake City, UT",Not Easy Apply,4.0, The Data Reliability Engineering teams are responsible for the reliability of Reference Data products and the quality of our data environments.
121,"Packsize, LLC",Senior Analyst,"Salt Lake City, UT",Not Easy Apply,2.9, Lead the company in adopting cutting edge data science opportunities. Lead a team of consisting of analysts and data science professionals.
122,Overstock.com Inc.,Senior Machine Learning Scientist,"Midvale, UT",Not Easy Apply,," Experience with big data technologies such as Hadoop/Spark. A Ph.D. in computer science, natural language processing, deep learning, computer vision or a…"
123,Goldman Sachs,Software Engineer - Enterprise Reference Data,"Salt Lake City, UT",Not Easy Apply,4.0," You will be part of the technology function for Enterprise Reference Data, focusing on building data sourcing, controls and distribution architecture that…"
124,Health Catalyst,"Data Engineer, Intermediate or Sr. (Platform Ops)","Salt Lake City, UT",Not Easy Apply,4.7, The Data Engineer leverages the Catalyst’s Data Operating System to acquire this data. Ability to dig into the data and understand business logic within the…
125,Goldman Sachs,Senior Data Reliability Engineer,"Salt Lake City, UT",Not Easy Apply,4.0," 5+ years recent experience with data environments including relational SQL databases and distributed NoSQL data stores with emphasis on data validation, quality…"
126,nCino,Associate Data Support Engineer - Salt Lake City,"Salt Lake City, UT",Not Easy Apply,4.3," Analyze customer data requirements and provide gap analysis. Knowledge of data management, SQL, and RDBMS technologies. Focus on continued customer success."
127,KeyQ Consulting,Senior Software Engineer/ Machine Learning developer,"Salt Lake City, UT",Easy Apply,, Study and transform data science prototypes. Select appropriate datasets and data representation methods. Please find the Job description below: *.
128,Goldman Sachs,Market Data Feed and Distribution Engineer (DIO - Market Data) - Market Data Engineering,"Salt Lake City, UT",Not Easy Apply,4.0," Expert knowledge of market data products from Refinitiv (TREP). Market Data delivers analytics and reference data, both real-time and historical reflecting all…"
129,Proofpoint,Machine Learning Software Engineer Summer Intern - Undergrad,"Draper, UT",Not Easy Apply,3.9, Knowledge of data structures and algorithms. The Machine Learning Products and Services team is uniquely positioned to take a new product or service idea that…
130,Progressive Leasing,Senior DevOps Engineer - Data Science Team,"Draper, UT",Not Easy Apply,3.6, Work with Data Science and Engineering teams to build a deployment pipeline for Data Science models and rules. 5+ years of software development experience.
131,Western Governors University,Institutional Research Analyst (Executive Intelligence and Qualitative Research),"Salt Lake City, UT",Not Easy Apply,3.6, Do you enjoy data analytics? Experience using a data warehouse. This could include day to day activities such as using Tableau to create data visualizations…
132,Snap Finance,Senior Data Engineer,"West Valley City, UT",Easy Apply,3.3," The Senior Data Engineer will support our developers, data scientists, business intelligence analysts, and machine learning engineers in ensuring consistent,…"
133,"HealthEquity, Inc.",Senior Data Engineer,"Draper, UT",Not Easy Apply,3.9," Expertise in data modeling and enterprise data architecture. Familiarity with other products in Azure: Event Hubs, Azure Data Lake Storage, Azure Databricks,…"
134,Banjo,Senior Machine Learning Engineer,"South Jordan, UT",Easy Apply,," Our live dataset includes video, image, text, time series, and audio data. Have an opportunity to work with data and technology seen nowhere else (seriously)."
135,The Church of Jesus Christ of Latter-day Saints,Contractor - FamilySearch Machine Learning Historical Records Expert - Spanish Speaking,"Salt Lake City, UT",Not Easy Apply,4.8," You’ll use paleography skills to accurately decipher historical documents, annotate language data with linguistic information to build Natural Language…"
136,Goldman Sachs,"Big Data, Platform and UI/UX Engineer - Compliance Engineering","Salt Lake City, UT",Not Easy Apply,4.0, Proficiency in SQL and data manipulation. Leverage modern frameworks to build responsive and intuitive UX/UI and Big Data applications.
137,Weave,Senior Data Engineer,"Lehi, UT",Easy Apply,4.3," Expert in SQL, Data stores, and analysis of data. Train teams on proper data management for PII and other sensitive data. WHAT WILL MAKE US LOVE YOU?"
138,Northrop Grumman,Sr. Principal Systems Engineer - Data Scientist,"Hill AFB, UT",Not Easy Apply,4.0," Minimum of a Bachelor of Science in Data Science, Computer Science, Physics, Statistics, Mathematics, or related quantitative field."
139,Snap Finance,Senior Machine Learning Engineer,"West Valley City, UT",Easy Apply,3.3," Code projects in parallel with the data engineering team. Propose, gather and integrate data and create valuable features. Why you will love it here:"
140,Goldman Sachs,CIMD Operations - IMD Ops Management & Shared Services – Business Intelligence Analyst/Associate – Salt Lake City,"Salt Lake City, UT",Not Easy Apply,4.0," As a data science professional, efforts will include enabling artificial intelligence to solve business problems. Role with a focus on data."
141,Western Governors University,"Institutional Research Analyst (Academic, Community of Care, Enrollment/Evaluation and Student Services Research)","Salt Lake City, UT",Not Easy Apply,3.6, Experience using a data warehouse. This could include day to day activities such as using Tableau or Power BI to create data visualizations that provide…
142,Western Governors University,Senior Institutional Research Analyst (Marketing Analytics and Strategy),"Salt Lake City, UT",Not Easy Apply,3.6," Are you the data whisperer? Experience using a data warehouse. We are responsible for data architecture and governance of marketing data sets, so being…"
143,Mphasis,Data Science Specialist USA,United States,Not Easy Apply,3.8," Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc {{depending on specific project requirements}}."
144,Harnham US,Director of Data Science and Computational Chemistry,"Salt Lake City, UT",Not Easy Apply,4.7, DIRECTOR OF DATA SCIENCE AND COMPUTATIONAL CHEMISTRY. Integrate expertise in computational chemistry with data science and machine learning.
145,Advertising Agency,Data Analyst,"Salt Lake City, UT",Easy Apply,," 2-4+ years working in data analytics, data science, or data warehousing with proven business intelligence experience. Director of Data Analytics & Reporting."
